auth1,booknum,original_publication_year,book_id,work_id,title,work_ratings_count
Rachel Joyce,1,2012.0,836,18156927,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",113876
Richard Dawkins,1,1976.0,900,1746717,The Selfish Gene,101017
Scott Turow,1,1986.0,966,7732,Presumed Innocent,93835
Irvine Welsh,1,1993.0,788,1087421,Trainspotting,110677
Rohinton Mistry,1,1996.0,779,865827,A Fine Balance,104516
Christopher Paul Curtis,1,1995.0,2343,4593761,The Watsons Go to Birmingham - 1963,46431
Philip K. Dick,1,1956.0,9085,63086,The Minority Report,13408
John Scalzi,1,2004.0,9538,18280048,Agent to the Stars,12632
Michael Cunningham,1,1990.0,6889,1216429,A Home at the End of the World,14967
Kimberly McCreight,1,2013.0,939,21488217,Reconstructing Amelia,99269
Cora Carmack,1,2012.0,1542,21807237,"Losing It (Losing It, #1)",91275
Elizabeth Strout,1,1998.0,9519,3356874,Amy and Isabelle ,12350
Kurt Vonnegut Jr.,1,1952.0,2552,1005005,Player Piano,36724
Ken Follett,1,1978.0,882,395229,Eye of the Needle,99971
Frank E. Peretti,1,1986.0,1218,2298572,"This Present Darkness (Darkness, #1)",74070
Jane Hamilton,1,1988.0,1675,3234420,The Book of Ruth,57244
Geraldine Brooks,1,1994.0,9650,3094971,Nine Parts of Desire: The Hidden World of Islamic Women,11010
Caleb Carr,1,1994.0,982,2266643,"The Alienist (Dr. Laszlo Kreizler, #1)",100908
Masashi Kishimoto,1,1999.0,835,197436,"Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)",105269
Nicole Krauss,1,2005.0,867,1882970,The History of Love,103470
Claudia Gray,1,2008.0,2134,2748013,"Evernight (Evernight, #1)",67136
Arthur C. Clarke,1,1953.0,1019,209414,Childhood's End,96751
Margaret Peterson Haddix,1,1995.0,6938,888455,Running Out of Time,20326
Bill O'Reilly,1,2011.0,1241,15494456,Killing Lincoln: The Shocking Assassination that Changed America Forever,76669
Kiersten White,1,2010.0,1608,6949381,"Paranormalcy (Paranormalcy, #1)",82832
Lisa McMann,1,2008.0,1850,1656772,"Wake (Wake, #1)",72067
Joe Haldeman,1,1974.0,914,423,"The Forever War (The Forever War, #1)",101775
Kelley Armstrong,1,2001.0,1779,2606334,"Bitten (Women of the Otherworld, #1)",77950
Andrea Cremer,1,2010.0,1724,7168458,Nightshade (Nightshade #1; Nightshade World #4),73076
Herman Koch,1,2009.0,1001,6463092,The Dinner,99070
Gretchen Rubin,1,2009.0,973,6587328,"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",102878
Anthony Horowitz,1,2000.0,1616,833565,"Stormbreaker (Alex Rider, #1)",72339
Raymond Chandler,1,1939.0,1160,1222673,"The Big Sleep (Philip Marlowe, #1)",90652
Tess Gerritsen,1,1996.0,6987,1238407,Harvest,15904
Chetan Bhagat,1,2004.0,1085,101768,Five Point Someone,69052
Sarah Addison Allen,1,2007.0,1689,2689445,"Garden Spells (Waverley Family, #1)",71577
Phaidon Press,1,1996.0,7861,249321,The 20th Century Art Book,10098
R.L. Mathewson,1,2011.0,1776,16313158,"Playing for Keeps (Neighbor from Hell, #1)",91010
Hans Christian Andersen,1,1835.0,1108,942531,The Complete Fairy Tales,94395
Richard Feynman,1,1962.0,7517,736922,Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher,13240
Lloyd Alexander,1,1964.0,2125,1149593,"The Book of Three (The Chronicles of Prydain, #1)",59286
Richard Wright,1,1940.0,1411,3159084,Native Son,70034
Liane Moriarty,1,2003.0,1804,2172728,Three Wishes,56511
Katy Evans,1,2013.0,1769,24581234,"Real (Real, #1)",87959
Robin McKinley,1,1978.0,2289,2321285,Beauty: A Retelling of the Story of Beauty and the Beast,61236
Brené Brown,1,2010.0,2036,7261277,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,51734
Andrew Clements,1,1996.0,1193,1993854,Frindle,84496
Morgan Matson,1,2010.0,1720,10261814,Amy & Roger's Epic Detour,71650
Colson Whitehead,1,2010.0,8124,15268500,Zone One,13845
Henrik Ibsen,1,1879.0,1580,10535173,A Doll's House,79492
Arnold Lobel,1,1970.0,1548,1231880,"Frog and Toad Are Friends (Frog and Toad, #1)",70705
Ira Levin,1,1967.0,1247,883024,Rosemary's Baby,84575
William S. Burroughs,1,1953.0,2328,24861,Junky,43506
Robin LaFevers,1,2012.0,1997,14452295,"Grave Mercy (His Fair Assassin, #1)",74683
Michael Ondaatje,1,1987.0,8452,1155500,In the Skin of a Lion,12433
Joanne Harris,1,1998.0,1131,2930558,"Chocolat (Chocolat, #1)",93092
Chaim Potok,1,1967.0,1465,1336083,The Chosen,73070
Anne Brontë,1,1847.0,3212,2222441,Agnes Grey,38553
Harry Allard,1,1977.0,1287,142568,"Miss Nelson Is Missing! (Miss Nelson, #1)",77473
Steven Erikson,1,1999.0,1528,2646042,"Gardens of the Moon (The Malazan Book of the Fallen, #1)",64654
Jon Stewart,1,2004.0,1096,1589081,America (The Book): A Citizen's Guide to Democracy Inaction,79555
Richard Bachman,1,1977.0,5188,1657128,Rage,23235
Mark  Lawrence,1,2011.0,1674,14466531,"Prince of Thorns (The Broken Empire, #1)",63562
David Baldacci,1,1995.0,1150,2837,Absolute Power,76197
Donald Miller,1,2000.0,4861,33415,Searching for God Knows What,19696
Alison Bechdel,1,2006.0,1370,911368,Fun Home: A Family Tragicomic,82994
Sebastian Junger,1,1997.0,1048,1887699,The Perfect Storm: A True Story of Men Against the Sea,86954
Johann Wolfgang von Goethe,1,1774.0,2286,746264,The Sorrows of Young Werther,53664
Marie Rutkoski,1,2014.0,2533,21861552,"The Winner's Curse (The Winner's Trilogy, #1)",65183
T.H. White,1,1938.0,6502,2457438,"The Sword in the Stone (The Once and Future King, #1)",19482
Anna Quindlen,1,1994.0,3293,1445239,One True Thing,32454
Carrie Ryan,1,2009.0,1917,3473471,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",74058
V.E. Schwab,1,2013.0,5442,19250870,"Vicious (Villains, #1)",28491
Beverly Cleary,1,1950.0,5491,86428,"Henry Huggins (Henry Huggins, #1)",22618
Anne Tyler,1,1982.0,6181,75046,Dinner at the Homesick Restaurant,18976
Craig Thompson,1,2003.0,1315,781193,Blankets,72621
Sarah Dunant,1,2003.0,1171,815591,The Birth of Venus,79989
Kendare Blake,1,2011.0,1637,14261925,"Anna Dressed in Blood (Anna, #1)",78236
Wendy Higgins,1,2012.0,2410,16762455,"Sweet Evil (Sweet, #1)",61003
James McBride,1,1996.0,1068,29679,The Color of Water: A Black Man's Tribute to His White Mother,83888
Stephen Crane,1,1871.0,1526,2314709,The Red Badge of Courage,74975
Zadie Smith,1,1999.0,1005,7480,White Teeth,90629
Wendelin Van Draanen,1,2001.0,1445,3199878,Flipped,81706
Timothy Ferriss,1,2000.0,4762,7413929,"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman",20858
Joe Hill,1,2005.0,4827,1049073,20th Century Ghosts,24783
Colum McCann,1,2009.0,1136,6113503,Let the Great World Spin,79306
Leon Uris,1,1958.0,1158,804397,Exodus,79096
Anita Shreve,1,1997.0,5095,221326,The Weight of Water,22568
Marian Keyes,1,1995.0,1713,912230,"Watermelon (Walsh Family, #1)",59134
Patricia C. Wrede,1,1985.0,4985,1045176,"Talking to Dragons (Enchanted Forest Chronicles, #4)",29038
John Wyndham,1,1951.0,1659,188517,The Day of the Triffids,65796
Roberto Aguirre-Sacasa,1,2009.0,1419,6972161,The Stand: Captain Trips,57974
Alan Brennert,1,2003.0,1216,3303291,Moloka'i,81313
Jean Craighead George,1,1959.0,2475,2682098,"My Side of the Mountain (Mountain, #1)",50618
Kylie Scott,1,2013.0,2826,25216800,"Lick (Stage Dive, #1)",64019
Jane Green,1,1997.0,5427,2888227,Straight Talking,18443
Rae Carson,1,2011.0,2293,13282366,"The Girl of Fire and Thorns (Fire and Thorns, #1)",61934
Amie Kaufman,1,2013.0,2983,18315607,"These Broken Stars (Starbound, #1)",48016
Meg Wolitzer,1,2013.0,1009,21541829,The Interestings,84976
Iain M. Banks,1,1987.0,1991,14366,"Consider Phlebas (Culture, #1)",53499
Brian Greene,1,1999.0,1224,907243,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",69530
Carl Sagan,1,1977.0,6857,1358127,Dragons of Eden: Speculations on the Evolution of Human Intelligence,14230
Anna Godbersen,1,2007.0,2077,1243729,"The Luxe (Luxe, #1)",61682
Curtis Sittenfeld,1,2005.0,1843,2317177,Prep,53202
Dodie Smith,1,1948.0,1957,950769,I Capture the Castle,65645
Elif Shafak,1,2006.0,4769,3094905,The Bastard of Istanbul,21564
Amish Tripathi,1,2011.0,1443,16782480,The Secret of the Nagas (Shiva Trilogy #2),55054
Lee Strobel,1,1988.0,1277,333464,The Case for Christ,69643
Timothy Zahn,1,1991.0,1862,1133995,Heir to the Empire (Star Wars: The Thrawn Trilogy #1),54423
Renee Ahdieh,1,2015.0,2626,26724902,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",64871
Hajime Isayama,1,2010.0,1183,18332367,"Attack on Titan, Vol. 1 (Attack on Titan, #1)",84361
Louis Sachar,1,1978.0,1383,1215581,Sideways Stories from Wayside School (Wayside School #1),78027
Thomas L. Friedman,1,1989.0,9946,304487,From Beirut to Jerusalem,8600
Nancy Horan,1,2007.0,1231,3345089,Loving Frank,77833
Dan Ariely,1,2007.0,1371,3074803,Predictably Irrational: The Hidden Forces That Shape Our Decisions,67993
Shirley Jackson,1,1948.0,2993,15161007,The Lottery,40031
Rosamunde Pilcher,1,1987.0,1237,517040,The Shell Seekers,77706
Doreen Cronin,1,1996.0,4649,301388,Diary of a Worm,23423
Jeff Smith,1,1991.0,3635,88871,Bone: The Complete Edition,28263
Chimamanda Ngozi Adichie,1,2003.0,3186,1057017,Purple Hibiscus,34222
Tom Wolfe,1,1968.0,1570,208153,The Electric Kool-Aid Acid Test,58254
W. Bruce Cameron,1,2010.0,1471,10479953,"A Dog's Purpose (A Dog's Purpose, #1)",75517
Robin Cook,1,1977.0,2478,944350,Coma,41540
Stephen E. Ambrose,1,1992.0,1313,903474,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",70908
Olivia Cunning,1,2010.0,3231,13235522,"Backstage Pass (Sinners on Tour, #1)",52679
Nassim Nicholas Taleb,1,2001.0,3069,3119175,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,30789
Marisha Pessl,1,2006.0,2914,910619,Special Topics in Calamity Physics,34307
Friedrich Nietzsche,1,1882.0,9667,2382792,The Gay Science,9776
Robert McCloskey,1,1941.0,1447,103828,Make Way for Ducklings,72105
Robert K. Massie,1,1967.0,5138,2453716,Nicholas and Alexandra,19586
Avi,1,1990.0,1639,997358,The True Confessions of Charlotte Doyle,70206
George Bernard Shaw,1,1912.0,1454,184399,Pygmalion,75603
Josephine Angelini,1,2011.0,2714,10862992,"Starcrossed (Starcrossed, #1)",55202
Marilynne Robinson,1,1980.0,3638,1056302,Housekeeping,30569
Scott McCloud,1,1993.0,1146,2415847,Understanding Comics: The Invisible Art,77953
Rebecca Stead,1,2009.0,1738,6608018,When You Reach Me,68034
Nathaniel Philbrick,1,1999.0,1514,1640941,In the Heart of the Sea: The Tragedy of the Whaleship Essex,61145
K.A. Tucker,1,2012.0,2542,21747190,"Ten Tiny Breaths (Ten Tiny Breaths, #1)",59991
Richard   Preston,1,1994.0,1269,909325,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,76615
C.S. Lewis,1,1938.0,1937,879622,"Out of the Silent Planet (Space Trilogy, #1)",56476
Patricia McCormick,1,2000.0,2122,2051065,Cut,49106
Alexandra Adornetto,1,2010.0,2283,10695325,"Halo (Halo, #1)",58840
Peggy Parish,1,1963.0,1469,888927,Amelia Bedelia  (Amelia Bedelia #1),72884
Douglas Preston,1,1995.0,1448,23046,"Relic (Pendergast, #1)",73343
James Redfield,1,1993.0,1079,2603195,"The Celestine Prophecy (Celestine Prophecy, #1)",77657
O. Henry,1,1905.0,1569,171430,The Gift of the Magi,70501
Tom Stoppard,1,1966.0,1584,73811,Rosencrantz and Guildenstern Are Dead,69783
Simon Winchester,1,1998.0,1378,1628566,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",75908
Ann Aguirre,1,2011.0,2294,7400809,"Enclave (Razorland, #1)",58102
Dashiell Hammett,1,1929.0,6025,2193257,Red Harvest,18109
Charles Bukowski,1,1969.0,5460,1759323,Notes of a Dirty Old Man,16858
Kate Atkinson,1,1995.0,4609,29415,Behind the Scenes at the Museum,24884
Aleksandr Solzhenitsyn,1,1962.0,1518,838042,One Day in the Life of Ivan Denisovich,72038
Jan Brett,1,1929.0,1632,952391,The Mitten,67185
Paolo Bacigalupi,1,2009.0,2102,6791425,The Windup Girl,50059
Terry Brooks,1,1977.0,1801,877015,"The Sword of Shannara (The Original Shannara Trilogy, #1)",66645
Bret Easton Ellis,1,1985.0,1908,1146200,Less Than Zero,51208
Erika Johansen,1,2014.0,2390,24267689,"The Queen of the Tearling (The Queen of the Tearling, #1)",54253
Tad Williams,1,1988.0,2385,840191,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",48280
William Styron,1,1967.0,8289,1607259,The Confessions of Nat Turner,12045
Faye Perozich,1,1989.0,1382,43209,Anne Rice's The Vampire Lestat: A Graphic Novel,61903
Jeph Loeb,1,1997.0,1623,680248,Batman: The Long Halloween,58640
Sophie Jordan,1,2010.0,2697,10823062,"Firelight (Firelight, #1)",54550
Daniel H. Pink,1,2004.0,4117,95744,A Whole New Mind: Why Right-Brainers Will Rule the Future,21946
Ron Chernow,1,2004.0,2175,1205304,Alexander Hamilton,51554
Don DeLillo,1,1985.0,1312,327422,White Noise,70218
Cornelia Funke,1,1990.0,7171,6874450,"The Inkheart Trilogy: Inkheart, Inkspell, Inkdeath (Inkworld, #1-3)",15215
Peter Lerangis,1,2009.0,2477,6034082,"The Sword Thief (The 39 Clues, #3)",42573
Katie Ashley,1,2012.0,3107,21850432,"The Proposition (The Proposition, #1)",46676
Susan Cooper,1,1965.0,3826,742,"Over Sea, Under Stone (The Dark Is Rising, #1)",37339
Elizabeth Wein,1,2012.0,2071,16885788,"Code Name Verity (Code Name Verity, #1)",65468
Alison Goodman,1,2008.0,2984,3017319,"Eon: Dragoneye Reborn (Eon, #1)",47738
Colm Tóibín,1,2009.0,1522,5020624,Brooklyn,67822
Kate Jacobs,1,2006.0,1655,2209036,"The Friday Night Knitting Club (Friday Night Knitting Club, #1)",65065
Irving Stone,1,1934.0,6291,1222321,Lust for Life,15758
Jennifer A. Nielsen,1,2012.0,2463,16221764,The False Prince (The Ascendance Trilogy #1),52979
Chip Heath,1,2006.0,1926,1472304,Made to Stick: Why Some Ideas Survive and Others Die,48407
Nancy Farmer,1,1994.0,8951,3266059,"The Ear, the Eye, and the Arm",13107
Virginia Lee Burton,1,1938.0,2879,1069773,Mike Mulligan and His Steam Shovel,43735
Anne Lamott,1,1993.0,4660,901072,Operating Instructions: A Journal of My Son's First Year,20063
Kevin Kwan,1,2013.0,1943,21571970,Crazy Rich Asians (Crazy Rich Asians #1),55387
Cinda Williams Chima,1,2006.0,3052,1072532,"The Warrior Heir (The Heir Chronicles, #1)",41907
Jean-Paul Sartre,1,1938.0,1624,1319935,Nausea,60910
Eiichirō Oda,1,1997.0,1321,361124,"One Piece, Volume 01: Romance Dawn (One Piece, #1)",67703
Kim Stanley Robinson,1,1993.0,2156,40712,"Red Mars (Mars Trilogy, #1)",49784
Alice Hoffman,1,1995.0,3767,4030671,Practical Magic,36006
James Ellroy,1,1987.0,1485,434,"The Black Dahlia (L.A. Quartet, #1)",65404
Robin S. Sharma,1,1996.0,1189,43268,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny,65477
Susan Elizabeth Phillips,1,1994.0,2706,2268839,"It Had to Be You (Chicago Stars, #1)",49486
A.J. Jacobs,1,2004.0,4836,197064,The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,23256
Chris Colfer,1,2012.0,2146,16550024,"The Wishing Spell (The Land of Stories, #1)",55183
Jane Yolen,1,1987.0,3376,3070357,Owl Moon,33746
Jacqueline Winspear,1,2003.0,2268,976403,"Maisie Dobbs (Maisie Dobbs, #1)",54118
Paullina Simons,1,2001.0,2507,12615171,"The Bronze Horseman (The Bronze Horseman, #1)",48539
Kristen Ashley,1,2008.0,4023,6730978,"Rock Chick (Rock Chick, #1)",44989
Richard Castle,1,2008.0,1934,6759670,"Heat Wave (Nikki Heat, #1)",55171
Aimee Carter,1,2011.0,3781,14569146,"The Goddess Test (Goddess Test, #1)",47080
John Fowles,1,1963.0,3131,1816452,The Collector,37123
Alison Weir,1,1980.0,2186,430173,The Six Wives of Henry VIII,49615
John Sandford,1,1989.0,1871,1070686,"Rules of Prey (Lucas Davenport, #1)",56027
Emma Straub,1,2014.0,1866,26440459,The Vacationers,50048
Daniel Quinn,1,1992.0,1283,1041162,Ishmael:A Novel,65968
James A. Michener,1,1947.0,8360,1094851,Tales of the South Pacific,12254
Gabrielle Zevin,1,2005.0,3160,349532,Elsewhere,43141
Amy Plum,1,2011.0,3121,10280032,"Die for Me (Revenants, #1)",48246
Blake Crouch,1,2009.0,9335,6225216,Abandon,11390
Rumiko Takahashi,1,1988.0,3629,4057187,"Ranma ½, Vol. 1 (Ranma ½ (US 2nd), #1)",26603
A.S. Byatt,1,1990.0,1970,2246190,Possession,59734
Margret Rey,1,1966.0,3151,885147,Curious George Goes to the Hospital,32397
Tom Robbins,1,1971.0,3027,1105820,Another Roadside Attraction,27937
Ann Leckie,1,2013.0,2218,24064628,Ancillary Justice (Imperial Radch #1),47806
Laurie R. King,1,1994.0,2445,891863,"The Beekeeper's Apprentice (Mary Russell, #1)",53691
Dave Barry,1,1999.0,8791,1807862,Big Trouble,11621
Catherine Fisher,1,2000.0,6985,4548192,"Sapphique (Incarceron, #2)",19648
Peter Mayle,1,1989.0,2063,940715,A Year in Provence,49043
Melanie Benjamin,1,2013.0,1874,19258153,The Aviator's Wife,53252
Thomas Pynchon,1,1963.0,6154,2999000,V.,16046
Jo Nesbø,1,1997.0,2431,1994708,"Flaggermusmannen (Harry Hole, #1)",48143
Tucker Max,1,2006.0,1701,2970640,"I Hope They Serve Beer in Hell (Tucker Max, #1)",49692
Candice Millard,1,2005.0,3307,980007,The River of Doubt: Theodore Roosevelt's Darkest Journey,33114
Norman Bridwell,1,1963.0,1765,1231120,Clifford the Big Red Dog,59331
Wallace Stegner,1,1971.0,2374,283706,Angle of Repose,42204
Ruth Ozeki,1,1998.0,8516,265218,My Year of Meats,11143
Jen Lancaster,1,2006.0,2371,27777,"Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",43007
Moira Young,1,2011.0,2567,14692536,"Blood Red Road (Dust Lands, #1)",52256
China Miéville,1,2000.0,2487,3221410,"Perdido Street Station (Bas-Lag, #1)",46378
Chuck Klosterman,1,2001.0,7257,1596506,Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,11665
Hillary Jordan,1,2008.0,2114,2144215,Mudbound,47971
John Jakes,1,1974.0,5561,2741369,"The Bastard (Kent Family Chronicles, #1)",19152
Nicholas Evans,1,1995.0,2927,467825,The Horse Whisperer,42843
Bill Bryson,1,1989.0,2321,1888943,The Lost Continent: Travels in Small Town America,42202
Lauren Graham,1,2013.0,3343,23587857,"Someday, Someday, Maybe",34830
Tom Rob Smith,1,2008.0,1832,2167258,"Child 44 (Leo Demidov, #1)",56031
Megan Whalen Turner,1,1996.0,3444,1069505,"The Thief (The Queen's Thief, #1)",43691
Karin Slaughter,1,2001.0,2373,2590340,"Blindsighted (Grant County, #1)",46667
Miranda Kenneally,1,2011.0,2435,14780777,Catching Jordan,51787
Sigmund Freud,1,1899.0,1973,1758256,The Interpretation of Dreams,44144
Bruce H. Wilkinson,1,2000.0,1438,99898,The Prayer of Jabez:  Breaking Through to the Blessed Life,58056
Iain Banks,1,1984.0,1940,3205295,The Wasp Factory,52845
G. Willow Wilson,1,2012.0,8271,18330291,Alif the Unseen,12831
Tracy Kidder,1,2000.0,8051,6466309,Strength in What Remains: A Journey of Remembrance and Forgiveness,12735
Henning Mankell,1,1991.0,2211,2885250,"Faceless Killers (Kurt Wallander, #1)",49558
Ellen Schreiber,1,2003.0,3289,255085,"Vampire Kisses (Vampire Kisses, #1)",44598
Danielle  Paige,1,2014.0,2734,25337746,"Dorothy Must Die (Dorothy Must Die, #1)",49019
Nevil Shute,1,1950.0,2854,276591,A Town Like Alice,39705
Dan Wells,1,2009.0,5613,6154629,"I Am Not A Serial Killer (John Cleaver, #1)",22460
Edward Gorey,1,1963.0,2865,3211551,"The Gashlycrumb Tinies (The Vinegar Works, #1)",38430
Karen Cushman,1,1994.0,4188,25037,"Catherine, Called Birdy",33034
John Connolly,1,1999.0,6376,890720,"Every Dead Thing (Charlie Parker, #1)",16618
Jussi Adler-Olsen,1,2007.0,2418,7211561,"The Keeper of Lost Causes (Department Q, #1)",46392
Mary Karr,1,1995.0,1978,1269768,The Liars' Club,47561
Mark Bittman,1,1998.0,2020,1110244,How to Cook Everything: Simple Recipes for Great Food,54604
Juliet Marillier,1,1999.0,3302,1897725,"Daughter of the Forest  (Sevenwaters, #1)",43242
Mary E. Pearson,1,2008.0,3626,1903936,"The Adoration of Jenna Fox (Jenna Fox Chronicles, #1)",40079
Pam Muñoz Ryan,1,2000.0,2338,1510338,Esperanza Rising,50698
Diane Chamberlain,1,2006.0,2856,1544939,The Secret Life of CeeCee Wilkes,37581
Robert Frost,1,1916.0,3344,14527,The Road Not Taken and Other Poems,31403
Candace Bushnell,1,1996.0,2340,3297002,Sex and the City,42366
Jean de Brunhoff,1,1931.0,2446,2682241,The Story of Babar,51147
Tami Hoag,1,1996.0,7126,4648325,"Guilty as Sin  (Deer Lake, #2)",14540
Ann-Marie MacDonald,1,1996.0,1806,941309,Fall on Your Knees,53947
R.A. Salvatore,1,1988.0,2808,66280,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",35843
Jane Smiley,1,1991.0,2124,2234336,A Thousand Acres,49509
Jim Gaffigan,1,2013.0,2173,21973739,Dad Is Fat,46767
Dava Sobel,1,1995.0,2295,1755348,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,42215
Jonathan Kellerman,1,1985.0,2014,4639409,"When the Bough Breaks (Alex Delaware, #1)",50189
David Levithan,1,2003.0,2280,1118789,Boy Meets Boy,50739
Ian Fleming,1,1953.0,2506,2503304,"Casino Royale (James Bond, #1)",46774
Richard K. Morgan,1,2002.0,2241,2095852,"Altered Carbon (Takeshi Kovacs, #1)",46772
Heather Gudenkauf,1,2008.0,3102,6520850,The Weight of Silence,35125
Peggy Rathmann,1,1994.0,2907,2992071,"Good Night, Gorilla",38692
Vernor Vinge,1,1992.0,2693,1253374,"A Fire Upon the Deep (Zones of Thought, #1)",40508
Jodi Picoult,1,1992.0,4427,1074034,Songs of the Humpback Whale,25894
Orhan Pamuk,1,1998.0,3048,2150886,My Name is Red,33212
Aleatha Romig,1,2011.0,4403,17349258,"Consequences (Consequences, #1)",35592
James Clavell,1,1962.0,3776,1899209,"King Rat (Asian Saga, #4)",27378
Chevy Stevens,1,2010.0,2251,7383770,Still Missing,50637
Henry Miller,1,1934.0,1999,543143,Tropic of Cancer,49701
David Wong,1,2007.0,2225,1858059,"John Dies at the End (John Dies at the End, #1)",45084
John Eldredge,1,1997.0,8217,121421,The Sacred Romance Drawing Closer To The Heart Of God,10477
Jenny Downham,1,2007.0,2454,3128767,Before I Die,46571
Julie James,1,2008.0,3800,3909033,Just the Sexiest Man Alive,38100
E. Lockhart,1,2005.0,5391,292089,"The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)",24018
Julia Alvarez,1,1991.0,5456,92888,How the García Girls Lost Their Accents ,18942
Elizabeth Berg,1,1998.0,8094,219740,What We Keep ,13320
Daniel Goleman,1,1995.0,1601,587647,Emotional Intelligence: Why It Can Matter More Than IQ,53141
John le Carré,1,1961.0,8786,1176737,Call for the Dead,13005
Maeve Binchy,1,1982.0,8075,888796,Light a Penny Candle,14547
Sarah Waters,1,1998.0,2145,1013794,Tipping the Velvet,45239
Patrick Carman,1,2003.0,6477,2478886,"The Dark Hills Divide (The Land of Elyon, #1)",19777
Reza Aslan,1,2005.0,5325,4372,"No god but God: The Origins, Evolution and Future of Islam",16823
Connie Willis,1,1992.0,3489,2439628,"Doomsday Book (Oxford Time Travel, #1)",36611
Pseudonymous Bosch,1,2007.0,2733,1086172,"The Name of This Book Is Secret (Secret, #1)",42190
Mira Grant,1,2010.0,2819,7351419,"Feed (Newsflesh Trilogy, #1)",41899
Roger Zelazny,1,1967.0,5310,1011388,Lord of Light,21952
Kent Haruf,1,1999.0,2128,1402373,"Plainsong (Plainsong, #1)",47942
Thomas J. Stanley,1,1995.0,2318,5210,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,46748
Stormie Omartian,1,1996.0,1998,818882,The Power of a Praying Wife,41057
Max Lucado,1,1997.0,2625,900984,"You Are Special (Wemmicksville, #1)",42349
Caragh M. O'Brien,1,2010.0,3318,7134814,"Birthmarked (Birthmarked, #1)",40821
Penelope Ward,1,2014.0,4102,42401641,Stepbrother Dearest,42254
Elle Kennedy,1,2015.0,4082,44707128,"The Mistake (Off-Campus, #2)",43538
Vince Flynn,1,1997.0,3449,1086625,Term Limits,27378
Anna Banks,1,2012.0,3453,17375535,"Of Poseidon (The Syrena Legacy, #1)",40540
Hugh Howey,1,2013.0,1898,24576986,"Dust (Silo, #3)",50916
Thornton Wilder,1,1927.0,4865,3128581,The Bridge of San Luis Rey,23861
Barbara W. Tuchman,1,1962.0,2834,1884932,The Guns of August,37695
Liu Cixin,1,2007.0,2676,25696480,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",43588
Herman Wouk,1,1951.0,6521,1059565,The Caine Mutiny,16677
James     Baldwin,1,1953.0,3523,1027995,Go Tell It on the Mountain,30729
Else Holmelund Minarik,1,1957.0,2467,506009,Little Bear,47541
Robert McCammon,1,1987.0,2485,2947187,Swan Song,41722
Louise L. Hay,1,1976.0,7419,124826,Heal Your Body: The Mental Causes for Physical Illness and the Metaphysical Way to Overcome Them,11714
Jonah Lehrer,1,2009.0,2444,3906123,How We Decide,33753
Karen Russell,1,2011.0,2496,13438215,Swamplandia!,43331
Edmund Morris,1,1979.0,3488,40514,The Rise of Theodore Roosevelt,28423
Carrie Fisher,1,2008.0,3618,5026857,Wishful Drinking,35641
Kevin Henkes,1,1991.0,2409,2394502,Chrysanthemum,43898
Octavia E. Butler,1,1979.0,2555,1049657,Kindred,47766
A.G. Howard,1,2013.0,3347,17562095,"Splintered (Splintered, #1)",41708
George Eliot,1,1859.0,5931,21503633,Adam Bede,19423
John Marsden,1,1993.0,2836,1253352,"Tomorrow, When the War Began (Tomorrow, #1)",40883
Steven Pressfield,1,1998.0,4731,1154187,Gates of Fire: An Epic Novel of the Battle of Thermopylae,21093
Vincent van Gogh,1,1914.0,2108,1687522,The Letters of Vincent van Gogh,48368
Mary Doria Russell,1,1996.0,2632,3349153,"The Sparrow (The Sparrow, #1)",43902
Marguerite Henry,1,1947.0,3565,847402,"Misty of Chincoteague (Misty, #1)",36515
